"file_path","primary_category","domain_filters","symptom_filters"
"help-center-content/docs/pt/troubleshooting/integrações/meu-pedido-foi-fechado-com-o-preco-errado.md","Checkout and Financial","Marketplace; Prices; Integrations","Sync issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/integrações/meus-pedidos-do-mercado-livre-apresentam-erros.md","Integrations and Channels","Marketplace; Integrations","Sync issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/integrações/pedidos-com-a-amazon-apresentam-erros-de-integracao.md","Integrations and Channels","Marketplace; Orders; Integrations","Sync issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/integrações/por-que-os-pedidos-do-marketplace-nao-integram-com-minha-loja.md","Integrations and Channels","Marketplace; Orders; Integrations","Sync issue"
"help-center-content/docs/pt/troubleshooting/integrações/precos-dos-produtos-nao-foram-enviados-ao-marketplace.md","Integrations and Channels","Marketplace; Prices; Integrations","Sync issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/busca-de-redirects-no-admin-nao-retorna-resultados.md","Data access and security","Admin; Storefront","Loading issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/erro-ao-instalar-certificado-ssl-customizado.md","Data access and security","VTEX Shield","Validation error; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/erro-ao-tentar-importar-skus-por-planilha-no-admin-vtex.md","Merchandising and Search","Catalog; Admin","Validation error"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/formularios-de-cliente-e-endereco-nao-existem-em-multiloja.md","Data access and security","Master Data; Admin","Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/meu-anuncio-nao-e-exibido-no-mercado-livre.md","Integrations and Channels","Marketplace; Catalog; Integrations","Loading issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/meu-estoque-esta-negativo.md","Orders and Fulfillment","Logistics; Orders","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-atualizar-o-ean-dos-meus-skus-por-api.md","Merchandising and Search","Catalog; Integrations","Validation error"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-corrigir-o-erro-de-schema-em-aplicativos-b2b.md","B2B Commerce","B2B; Master Data","Validation error; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-importar-a-planilha-de-precos.md","Merchandising and Search","Prices; Catalog","Validation error"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-indexar-um-produto-do-catalogo.md","Merchandising and Search","Catalog; Intelligent Search","Loading issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-receber-emails-da-vtex.md","Data access and security","Admin","Notification issue; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-visualizar-metricas-no-dashboard-de-pedidos.md","Orders and Fulfillment","Orders; Admin","Loading issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-visualizar-o-produto-na-busca-do-site.md","Merchandising and Search","Intelligent Search; Catalog; Storefront","Loading issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-consigo-visualizar-uma-pagina-no-admin.md","Data access and security","Identity; Admin","Access restriction; Loading issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/nao-recebi-o-email-com-o-relatorio-exportado-do-master-data-v1.md","Data access and security","Master Data; Admin","Notification issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-da-minha-loja-esta-parado-no-status-verificando-nota-fiscal.md","Orders and Fulfillment","Orders; Payments","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-da-minha-loja-foi-cancelado.md","Orders and Fulfillment","Orders; Payments","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-da-minha-loja-nao-foi-criado.md","Checkout and Financial","Checkout; Orders; Payments","Flow interruption; Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-foi-dividido-em-pacotes-com-entregas-distintas.md","Orders and Fulfillment","Orders; Logistics","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-nao-avanca-apos-o-status-preparando-entrega.md","Orders and Fulfillment","Orders; Logistics","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-pedido-nao-avanca-apos-o-status-pronto-para-manuseio.md","Orders and Fulfillment","Orders; Logistics; Integrations","Flow interruption; Sync issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/o-site-editor-da-minha-loja-nao-esta-funcionando.md","Data access and security","Storefront; Admin","Loading issue; Access restriction"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/produto-continua-reservado-em-estoque-apos-faturamento-do-pedido.md","Orders and Fulfillment","Orders; Logistics","Flow interruption"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/promocao-nao-aplicada-ao-marketplace.md","Integrations and Channels","Marketplace; Promotions; Integrations","Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/promocao-nao-foi-aplicada-ao-cluster-de-clientes.md","Merchandising and Search","Promotions","Misconfiguration"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/removendo-mensagem-de-erro-request-headers-must-contain-only-ascii.md","Data access and security","Storefront","Validation error; Loading issue"
"help-center-content/docs/pt/troubleshooting/operações-da-loja/trigger-no-master-data-v2-nao-funciona.md","Data access and security","Master Data; Integrations","Sync issue; Misconfiguration"
